127.0.0.1 - - [24/May/2023:18:28:35 -0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [24/May/2023:18:28:58 -0300] "GET /agendamusicalccb/setores HTTP/1.1" 200 11139
0:0:0:0:0:0:0:1 - - [24/May/2023:18:28:58 -0300] "GET /agendamusicalccb/images/logo.png HTTP/1.1" 200 3790
0:0:0:0:0:0:0:1 - - [24/May/2023:18:28:58 -0300] "GET /agendamusicalccb/layout/stylesheets/faetec.min.css HTTP/1.1" 200 8699
0:0:0:0:0:0:0:1 - - [24/May/2023:18:28:58 -0300] "GET /agendamusicalccb/stylesheets/estoque.css HTTP/1.1" 200 1551
0:0:0:0:0:0:0:1 - - [24/May/2023:18:28:58 -0300] "GET /agendamusicalccb/layout/stylesheets/application.css HTTP/1.1" 200 1091
0:0:0:0:0:0:0:1 - - [24/May/2023:18:28:58 -0300] "GET /agendamusicalccb/layout/javascripts/vendors.min.js HTTP/1.1" 200 145096
0:0:0:0:0:0:0:1 - - [24/May/2023:18:28:58 -0300] "GET /agendamusicalccb/layout/stylesheets/vendors.min.css HTTP/1.1" 200 167935
0:0:0:0:0:0:0:1 - - [24/May/2023:18:28:58 -0300] "GET /agendamusicalccb/layout/javascripts/faetec.min.js HTTP/1.1" 200 1433
0:0:0:0:0:0:0:1 - - [24/May/2023:18:28:58 -0300] "GET /agendamusicalccb/javascripts/faetec.js HTTP/1.1" 200 188
0:0:0:0:0:0:0:1 - - [24/May/2023:18:28:58 -0300] "GET /agendamusicalccb/javascripts/vendors/jquery.maskMoney.min.js HTTP/1.1" 200 5062
0:0:0:0:0:0:0:1 - - [24/May/2023:18:28:58 -0300] "GET /agendamusicalccb/layout/vendors/bootstrap/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [24/May/2023:18:28:58 -0300] "GET /agendamusicalccb/layout/vendors/font-awesome/fonts/fontawesome-webfont.woff2?v=4.6.1 HTTP/1.1" 200 70728
